rate,season,dc_period,demand_charge,ec_period,energy_charge,average,
A-1,summer,,0,none,0.25386,0,
A-1,winter,,0,none,0.1967,0,
A-1 TOU,summer,,0,on-peak,0.268,0,
A-1 TOU,summer,,0,part-peak,0.24435,0,
A-1 TOU,summer,,0,off-peak,0.217,0,
A-1 TOU,winter,,0,part-peak,0.22622,0,
A-1 TOU,winter,,0,off-peak,0.2053,0,
A-6 TOU,summer,,0,on-peak,0.56478,0,
A-6 TOU,summer,,0,part-peak,0.26796,0,
A-6 TOU,summer,,0,off-peak,0.19637,0,
A-6 TOU,winter,,0,part-peak,0.21389,0,
A-6 TOU,winter,,0,off-peak,0.19565,0,
A-10,summer,,19.52,none,0.16949,0,
A-10,winter,,11.76,none,0.13075,0,
A-10 TOU,summer,,19.52,on-peak,0.22337,0,
A-10 TOU,summer,,19.52,part-peak,0.16824,0,
A-10 TOU,summer,,19.52,off-peak,0.14017,0,
A-10 TOU,winter,,11.76,part-peak,0.14054,0,
A-10 TOU,winter,,11.76,off-peak,0.12347,0,
E-19 TOU,summer,max. peak,19.65,on-peak,0.16055,0,
E-19 TOU,summer,part peak,5.4,part-peak,0.11613,0,
E-19 TOU,summer,maximum,17.74,off-peak,0.08671,0,
E-19 TOU,winter,part peak,0.12,part-peak,0.11004,0,
E-19 TOU,winter,maximum,17.74,off-peak,0.09401,0
